Time,kx,ky,Amp
0,17,15,1.14E-22
0,18,15,2.06E-23
0,19,15,7.89E-23
0,20,15,1.43E-23
0,21,15,9.20E-23
0,22,15,8.94E-24
0,23,15,7.33E-23
0,24,15,7.42E-24
0,25,15,7.27E-23
0,26,15,1.68E-23
0,27,15,3.60E-23
0,28,15,1.93E-23
0,29,15,5.13E-23
0,30,15,2.77E-23
0,31,15,1.02E-22
0,0,16,3.06E-24
0,1,16,5.87E-22
0,2,16,1.28E-23
0,3,16,4.52E-23
0,4,16,6.18E-24
0,5,16,4.64E-23
0,6,16,6.93E-24
0,7,16,1.46E-23
0,8,16,1.04E-23
0,9,16,1.68E-23
0,10,16,4.81E-24
0,11,16,6.06E-23
0,12,16,7.22E-24
0,13,16,4.56E-23
0,14,16,5.58E-24
0,15,16,7.16E-23
0,16,16,1.58E-24
0,17,16,5.50E-23
0,18,16,3.03E-24
0,19,16,2.67E-23
0,20,16,6.18E-24
0,21,16,3.69E-23
0,22,16,6.01E-24
0,23,16,2.14E-23
0,24,16,5.26E-24
0,25,16,5.80E-23
0,26,16,2.69E-24
0,27,16,1.02E-23
0,28,16,7.12E-24
0,29,16,2.26E-23
0,30,16,1.12E-23
0,31,16,1.56E-23
0,0,17,1.94E-24
0,1,17,7.67E-22
0,2,17,2.23E-23
0,3,17,7.66E-23
0,4,17,2.64E-23
0,5,17,6.25E-24
0,6,17,1.47E-23
0,7,17,2.08E-22
0,8,17,2.73E-23
0,9,17,1.03E-22
0,10,17,1.33E-23
0,11,17,1.38E-22
0,12,17,2.32E-23
0,13,17,8.31E-23
0,14,17,1.81E-23
0,15,17,3.67E-22
0,16,17,1.66E-23
0,17,17,4.28E-22
0,18,17,1.73E-23
0,19,17,6.34E-23
0,20,17,1.89E-23
0,21,17,1.12E-22
0,22,17,1.41E-23
0,23,17,1.21E-22
0,24,17,2.29E-23
0,25,17,1.59E-22
0,26,17,1.22E-23
0,27,17,9.90E-23
0,28,17,7.38E-24
0,29,17,1.02E-22
0,30,17,2.46E-23
0,31,17,2.06E-22
0,0,18,8.03E-26
0,1,18,4.79E-22
0,2,18,1.50E-24
0,3,18,4.81E-23
0,4,18,3.77E-24
0,5,18,2.45E-23
0,6,18,8.32E-24
0,7,18,3.47E-23
0,8,18,5.21E-24
0,9,18,3.04E-23
0,10,18,8.24E-24
0,11,18,2.84E-23
0,12,18,9.71E-24
0,13,18,3.47E-23
0,14,18,2.13E-24
0,15,18,6.78E-24
0,16,18,2.88E-24
0,17,18,2.91E-23
0,18,18,4.08E-24
0,19,18,1.28E-23
0,20,18,8.62E-24
0,21,18,2.22E-23
0,22,18,9.25E-24
0,23,18,3.47E-23
0,24,18,4.41E-24
0,25,18,1.77E-24
0,26,18,1.25E-23
0,27,18,2.08E-23
0,28,18,8.13E-24
0,29,18,2.80E-23
0,30,18,7.51E-24
0,31,18,5.93E-23
0,0,19,2.98E-24
0,1,19,1.03E-21
0,2,19,3.87E-23
0,3,19,9.75E-23
0,4,19,4.81E-23
0,5,19,4.05E-23
0,6,19,1.71E-23
0,7,19,1.78E-22
0,8,19,1.47E-23
0,9,19,9.66E-23
0,10,19,2.64E-23
0,11,19,1.13E-22
0,12,19,2.96E-23
0,13,19,6.34E-23
0,14,19,5.04E-23
0,15,19,4.16E-22
0,16,19,7.64E-24
0,17,19,4.41E-22
0,18,19,9.90E-24
0,19,19,4.20E-23
0,20,19,2.69E-23
0,21,19,5.77E-23
0,22,19,3.99E-23
0,23,19,1.17E-22
0,24,19,1.94E-23
0,25,19,1.48E-22
0,26,19,1.61E-23
0,27,19,1.43E-23
0,28,19,8.94E-24
0,29,19,5.43E-23
0,30,19,1.29E-23
0,31,19,5.30E-23
0,0,20,9.71E-24
0,1,20,8.83E-23
0,2,20,1.09E-23
0,3,20,8.46E-24
0,4,20,9.40E-24
0,5,20,3.54E-23
0,6,20,5.26E-24
0,7,20,4.08E-23
0,8,20,1.12E-23
0,9,20,4.66E-23
0,10,20,3.12E-24
0,11,20,3.71E-23
0,12,20,3.94E-24
0,13,20,2.39E-23
0,14,20,2.63E-24
0,15,20,1.18E-22
0,16,20,2.22E-24
0,17,20,1.22E-22
0,18,20,5.01E-24
0,19,20,2.81E-23
0,20,20,2.97E-24
0,21,20,8.88E-24
0,22,20,5.28E-24
0,23,20,9.78E-23
0,24,20,4.14E-24
0,25,20,9.09E-23
0,26,20,3.01E-24
0,27,20,9.09E-24
0,28,20,1.07E-24
0,29,20,3.74E-23
0,30,20,9.17E-24
0,31,20,2.05E-22
0,0,21,1.43E-23
0,1,21,4.98E-22
0,2,21,1.24E-23
0,3,21,6.12E-23
0,4,21,1.09E-23
0,5,21,1.12E-23
0,6,21,1.84E-23
0,7,21,1.76E-22
0,8,21,9.16E-24
0,9,21,1.63E-22
0,10,21,2.24E-23
0,11,21,5.06E-23
0,12,21,1.37E-23
0,13,21,3.98E-23
0,14,21,5.36E-23
0,15,21,1.76E-22
0,16,21,2.89E-23
0,17,21,2.55E-22
0,18,21,3.72E-23
0,19,21,7.90E-23
0,20,21,5.80E-23
0,21,21,1.09E-22
0,22,21,4.80E-23
0,23,21,7.05E-23
0,24,21,3.41E-23
0,25,21,4.89E-23
0,26,21,2.69E-23
0,27,21,7.97E-23
0,28,21,2.27E-23
0,29,21,8.99E-23
0,30,21,2.88E-23
0,31,21,5.88E-23
0,0,22,3.99E-24
0,1,22,8.27E-23
0,2,22,9.45E-24
0,3,22,2.59E-23
0,4,22,8.89E-24
0,5,22,1.38E-23
0,6,22,7.00E-24
0,7,22,1.49E-23
0,8,22,4.85E-24
0,9,22,2.19E-23
0,10,22,2.41E-24
0,11,22,4.22E-23
0,12,22,1.18E-23
0,13,22,2.47E-23
0,14,22,4.07E-24
0,15,22,4.50E-23
0,16,22,1.22E-23
0,17,22,7.55E-23
0,18,22,3.90E-24
0,19,22,3.28E-23
0,20,22,6.94E-24
0,21,22,2.83E-23
0,22,22,5.76E-24
0,23,22,7.65E-23
0,24,22,3.70E-24
0,25,22,6.51E-23
0,26,22,1.42E-24
0,27,22,5.07E-23
0,28,22,4.97E-24
0,29,22,3.44E-23
0,30,22,8.37E-24
0,31,22,1.35E-23
0,0,23,2.08E-23
0,1,23,3.16E-22
0,2,23,2.62E-23
0,3,23,3.64E-23
0,4,23,1.69E-23
0,5,23,4.53E-23
0,6,23,1.49E-23
0,7,23,3.00E-23
0,8,23,1.52E-23
0,9,23,9.24E-23
0,10,23,2.25E-23
0,11,23,1.25E-22
0,12,23,1.68E-23
0,13,23,1.26E-22
0,14,23,3.01E-23
0,15,23,1.44E-22
0,16,23,1.86E-23
0,17,23,8.37E-23
0,18,23,3.30E-23
0,19,23,4.81E-23
0,20,23,4.38E-23
0,21,23,5.29E-23
0,22,23,3.62E-23
0,23,23,1.35E-22
0,24,23,3.23E-23
0,25,23,1.38E-22
0,26,23,5.14E-25
0,27,23,1.01E-22
0,28,23,1.07E-23
0,29,23,9.63E-23
0,30,23,3.94E-24
0,31,23,6.52E-23
0,0,24,7.11E-24
0,1,24,2.64E-22
0,2,24,1.45E-23
0,3,24,3.16E-23
0,4,24,9.70E-24
0,5,24,8.78E-24
0,6,24,3.61E-25
0,7,24,6.81E-23
0,8,24,5.58E-24
0,9,24,5.87E-23
0,10,24,7.49E-24
0,11,24,3.33E-23
0,12,24,7.02E-24
0,13,24,1.78E-23
0,14,24,4.04E-24
0,15,24,1.07E-22
0,16,24,1.54E-24
0,17,24,1.19E-22
0,18,24,1.37E-24
0,19,24,3.57E-23
0,20,24,8.12E-24
0,21,24,5.53E-23
0,22,24,7.02E-25
0,23,24,9.83E-23
0,24,24,2.67E-24
0,25,24,5.96E-23
0,26,24,8.19E-24
0,27,24,8.64E-24
0,28,24,8.80E-25
0,29,24,4.23E-23
0,30,24,1.40E-23
0,31,24,2.82E-22
0,0,25,1.97E-23
0,1,25,2.33E-22
0,2,25,3.78E-23
0,3,25,7.09E-23
0,4,25,3.35E-23
0,5,25,7.99E-23
0,6,25,1.96E-23
0,7,25,1.28E-22
0,8,25,2.74E-23
0,9,25,7.20E-23
0,10,25,1.76E-23
0,11,25,1.02E-22
0,12,25,2.01E-23
0,13,25,9.73E-23
0,14,25,9.53E-24
0,15,25,1.54E-22
0,16,25,1.97E-23
0,17,25,6.36E-23
0,18,25,1.48E-23
0,19,25,3.60E-23
0,20,25,1.90E-23
0,21,25,3.67E-23
0,22,25,3.02E-23
0,23,25,6.85E-23
0,24,25,1.69E-23
0,25,25,5.84E-23
0,26,25,3.02E-23
0,27,25,4.37E-23
0,28,25,6.50E-24
0,29,25,3.36E-23
0,30,25,1.93E-23
0,31,25,4.38E-22
0,0,26,2.35E-24
0,1,26,4.28E-22
